Date,Stock,Action,Close
30/12/19,META,Buy,204.19
30/12/19,AMZN,Buy,92.34
26/12/19,META,Sell,207.57
26/12/19,AMZN,Sell,93.44
24/12/19,META,Buy,204.9
20/12/19,AMZN,Buy,89.32
19/12/19,META,Sell,205.84
19/12/19,AMZN,Sell,89.61
18/12/19,AMZN,Buy,89.2
18/12/19,GOOGL,Buy,67.6
17/12/19,AMZN,Sell,89.53
12/12/19,META,Buy,196.54
11/12/19,META,Sell,202.05
05/12/19,GOOGL,Sell,66.35
02/12/19,META,Buy,199.49
29/11/19,AMZN,Buy,90.04
27/11/19,AMZN,Sell,90.93
27/11/19,META,Sell,201.79
26/11/19,META,Buy,198.76
22/11/19,AMZN,Buy,87.29
22/11/19,META,Sell,198.61
20/11/19,META,Buy,197.3
18/11/19,META,Sell,197.19
18/11/19,GOOGL,Buy,65.99
14/11/19,AMZN,Sell,87.73
14/11/19,GOOGL,Sell,65.46
14/11/19,NFLX,Buy,289.62
13/11/19,NFLX,Sell,283.11
11/11/19,GOOGL,Buy,64.91
06/11/19,META,Buy,191.35
05/11/19,AMZN,Buy,90.09
04/11/19,AMZN,Sell,90.23
04/11/19,META,Sell,194.51
04/11/19,GOOGL,Sell,64.48
29/10/19,GOOGL,Buy,63.03
23/10/19,META,Buy,185.95
23/10/19,GOOGL,Sell,62.88
22/10/19,META,Sell,182.15
21/10/19,NFLX,Buy,278.05
18/10/19,NFLX,Sell,275.3
18/10/19,GOOGL,Buy,62.22
18/10/19,AMZN,Buy,87.88
17/10/19,NFLX,Buy,293.35
15/10/19,GOOGL,Sell,62.11
15/10/19,AMZN,Sell,88.37
14/10/19,AMZN,Buy,86.82
14/10/19,META,Buy,183.09
11/10/19,NFLX,Sell,282.93
11/10/19,META,Sell,183.99
10/10/19,NFLX,Buy,280.48
10/10/19,AMZN,Sell,86.01
09/10/19,NFLX,Sell,267.53
09/10/19,AMZN,Buy,86.1
07/10/19,AMZN,Sell,86.63
04/10/19,META,Buy,180.26
04/10/19,AMZN,Buy,86.98
30/09/19,NFLX,Buy,267.62
26/09/19,META,Sell,179.92
20/09/19,AMZN,Sell,89.71
19/09/19,NFLX,Sell,286.6
19/09/19,AAPL,Buy,53.59
18/09/19,NFLX,Buy,291.56
18/09/19,AAPL,Sell,54.03
16/09/19,GOOGL,Buy,61.58
16/09/19,NFLX,Sell,294.29
13/09/19,META,Buy,186.99
13/09/19,NFLX,Buy,294.15
12/09/19,META,Sell,187.27
11/09/19,GOOGL,Sell,61.0
10/09/19,NFLX,Sell,287.99
09/09/19,NFLX,Buy,294.34
06/09/19,NFLX,Sell,290.17
04/09/19,NFLX,Buy,291.52
03/09/19,NFLX,Sell,289.29
30/08/19,AMZN,Buy,88.81
30/08/19,NFLX,Buy,293.75
30/08/19,AAPL,Buy,50.62
29/08/19,META,Buy,185.37
28/08/19,AMZN,Sell,88.21
23/08/19,AAPL,Sell,49.14
23/08/19,NFLX,Sell,291.44
22/08/19,NFLX,Buy,296.93
22/08/19,META,Sell,181.85
21/08/19,META,Buy,183.36
20/08/19,META,Sell,183.62
19/08/19,META,Buy,185.97
19/08/19,AMZN,Buy,90.81
16/08/19,AAPL,Buy,50.08
15/08/19,AAPL,Sell,48.93
15/08/19,AMZN,Sell,88.81
14/08/19,META,Sell,179.52
14/08/19,NFLX,Sell,299.11
12/08/19,META,Buy,185.17
12/08/19,NFLX,Buy,310.83
08/08/19,AAPL,Buy,49.15
02/08/19,AAPL,Sell,49.29
01/08/19,META,Sell,192.53
01/08/19,NFLX,Sell,319.5
31/07/19,GOOGL,Buy,60.91
26/07/19,GOOGL,Sell,62.26
